序号,难度,答题分数,答题时间,试题主题,题型,试题正文,试题选项,试题答案,依据 出处,出题人,备注
1,易,1,1,电缆附件安装,单选题,110kV 电缆中间接头安装时根据工艺图纸要求确定电缆最终切割位置，预留（   ）mm 余量，沿电缆轴线垂直切断。,200～400$;$300～500;$300～400$;$200～500,D,,,电缆附件安装
2,易,1,1,电缆附件安装,单选题,在 110kV 及以上电压等级的高压交联电缆生产过程中，电缆绝缘内部会留有应力。这种应力会使电缆导体附近的绝缘有向绝缘体（   ）收缩的趋势。,两端$;$边缘$;$附近$;$中间,D,,,电缆附件安装
3,易,1,1,电缆附件安装,单选题,加热校直时，要求电缆笔直度满足工艺要求，110kV 交联电缆中间接头要求弯曲度：电缆每（   ）mm 长，最大弯曲度偏移控制在 2～5mm范围内。,200$;$300$;$400$;$500,C,,,电缆附件安装
4,易,1,1,电缆附件安装,单选题,110kV 电缆接头制作，打磨抛光处理完毕后，绝缘表面的粗糙度（目视检测）宜按照工艺要求执行， 如未注明，建议控制在不大于 （   ） ｍ，现场可用平行光源进行检查。,200$;$300$;$400$;$500,B,,,电缆附件安装
5,易,1,1,电缆附件安装,单选题,电缆绝缘表面应进行打磨抛光处理， 110kV 电缆应使用 （   ）号及以上砂纸或砂带。,600$;$500$;$400$;$300,C,,,电缆附件安装
6,易,1,1,电缆附件安装,单选题,交联聚乙烯绝缘电缆中间接头组合预制式，采用围压压接法进行导体连接时围压压接每压一次，在压模合拢到位后应停留 （   ）s。,5～10$;$10～15$;$15～20$;$10～20,B,,,电缆附件安装
7,易,1,1,电缆附件安装,单选题,电缆中间接头安装时电缆弯曲半径不应小于电缆外径的（   ）倍。,5$;$10$;$15$;$20,D,,,电缆附件安装
8,易,1,1,电缆附件安装,单选题,在套入预制橡胶绝缘件前，应清洁粘在电缆绝缘表面上的灰尘或其他残留物， 清洁方向应（   ）。,由绝缘屏蔽层朝向绝缘层$;$从中间向两侧$;$由绝缘层朝向绝缘屏蔽层$;$任何方向都可,C,,,电缆附件安装
9,易,1,1,电缆附件安装,单选题,110kV 电缆中间接头安装最终切割时，如果电缆截面较大，可（   ），直至适当位置后再用锯子等工具沿电缆轴线垂直切断。,先用锯子锯至绝缘中间位置$;$先用刻刀刻至绝缘中间位置$;$先去除一定厚度电缆绝缘$;$先用锯子锯至三分之一绝缘位置,C,,,电缆附件安装
10,易,1,1,电缆附件安装,单选题,加热校直时，电缆绝缘屏蔽层处温度宜控制在（   ）℃。,70±3$;$75±2$;$75±3$;$70±2,C,,,电缆附件安装
11,易,1,1,电缆附件安装,单选题,110kV 交联聚乙烯电缆中间接头安装前应进行加热校直，通过加热中间接头要求弯曲度达到下列工艺要求：电缆每 （   ）mm 长，最大弯曲度偏移控制在 2～5mm 范围内。,100$;$200$;$300$;$400,D,,,电缆附件安装
12,易,1,1,电缆附件安装,单选题,110kV 电缆接头安装进行绝缘屏蔽层与绝缘层间的过渡处理时，绝缘层屏蔽与绝缘层间应形成光滑过渡，过渡部分锥形长度宜控制在 （   ）mm。,30～50$;$20～30$;$20～40$;$10～30,C,,,电缆附件安装
13,中,1,1,电缆附件安装,单选题,220kV交联电缆中间接头要求弯曲度：电缆每（   ）mm长，最大弯曲度偏移控制在 2～5mm范围内。,100$;$200$;$300$;$400,D,,,电缆附件安装
14,中,1,1,电缆附件安装,单选题,电缆敷设至临时支架位置，测量（   ），确保电缆敷设过程中没有损伤电缆外护套。,电缆长度$;$电缆外护套绝缘$;$电缆外护套厚度$;$电缆主绝缘,B,,,电缆附件安装
15,中,1,1,电缆附件安装,单选题,安装GIS电缆终端时，电缆应垂直固定在电缆支架上，电缆筒底部以下至少（   ）m电缆应保持垂直。,0.5$;$1$;$1.5$;$2,C,,,电缆附件安装
16,中,1,1,电缆附件安装,单选题,交联聚乙烯电缆终端安装前应进行加热校直，通过加热达到下列工艺要求：电缆每 600mm 长，最大弯曲度偏移控制在 （   ）mm 范围内。,1～4$;$2～6$;$5～8$;$2～5,D,,,电缆附件安装
17,中,1,1,电缆附件安装,单选题,加热校直时，保温时间宜不小于 （   ）h。,1$;$2$;$3$;$4,A,,,电缆附件安装
18,中,1,1,电缆附件安装,单选题,打磨抛光处理的重点部位是（   ）的部位，打磨处理完毕后应测量绝缘表面直径。,主绝缘根部$;$压接部位$;$半导电$;$安装应力锥,D,,,电缆附件安装
